name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes,referral_validation_slug,referral_user_help_text,referral_hostname,referral_pathname,referral_example_url,referral_company_slug
Vuori,vuori,topic,,referral-programs,,,,,,,,,,
Bonobos,bonobos,topic,,referral-programs,,,,,,,,,,
Rent the Runway,rent-the-runway,topic,RTR,referral-programs,,,,,,,,,,
Italic,italic,topic,,referral-programs,,,,,,,,,,
Bespoke Post,bespoke-post,topic,,referral-programs,,,,,,,,,,
Hulu,hulu,topic,,referral-programs,,,,,,,,,,
FuboTV,fubotv,topic,Fubo,referral-programs,,,,,,,,,,
Vimeo,vimeo,topic,,referral-programs,,,,,,,,,,
Planet Fitness,planet-fitness,topic,,referral-programs,,,,,,,,,,
23andMe,23andme,topic,,referral-programs,,,,,,,,,,
Ohmconnect,ohmconnect,topic,,referral-programs,,,,,,,,,,
Zola,zola,topic,,referral-programs,,,,,,,,,,
Minted,minted,topic,,referral-programs,,,,,,,,,,
Ritual,ritual,topic,,referral-programs,,,,,,,,,,
Slice,slice,topic,Slice Pizza,referral-programs,,,,,,,,,,
Crumbl Cookies,crumbl-cookies,topic,Crumbl,referral-programs,,,,,,,,,,
HelloFresh,hellofresh,topic,Hello Fresh,referral-programs,,,,,,,,,,
Blue Apron,blue-apron,topic,,referral-programs,,,,,,,,,,
NordVPN,nordvpn,topic,Nord VPN,referral-programs,,,,,,,,,,
1Password,1password,topic,One Password,referral-programs,,,,,,,,,,
Calm,calm,topic,Calm App,referral-programs,,,,,,,,,,
Headspace,headspace,topic,,referral-programs,,,,,,,,,,
Noom,noom,topic,,referral-programs,,,,,,,,,,
StockX,stockx,topic,Stock X,referral-programs,,,,,,,,,,
US Mobile,us-mobile,topic,USMobile,referral-programs,,,,,,,,,,
Superhuman,superhuman,topic,Superhuman Email,referral-programs,,,,,,,,,,
Raycast,raycast,topic,,referral-programs,,,,,,,,,,
Robinhood Referral Program,robinhood-referral-program,referral_program,,robinhood,,,,,robinhood_referral,Share your Robinhood referral link from the app,join.robinhood.com,/%,https://join.robinhood.com/abc123,robinhood
Cash App Referral Program,cash-app-referral-program,referral_program,,cash-app,,,,,cash_app_referral,Share your Cash App referral code or $cashtag,cash.app,/app/%,https://cash.app/app/ABCDEFG,cash-app
Coinbase Referral Program,coinbase-referral-program,referral_program,,coinbase,,,,,coinbase_referral,Share your Coinbase referral link,coinbase.com,/join/%,https://coinbase.com/join/abc123,coinbase
Chime Referral Program,chime-referral-program,referral_program,,chime,,,,,chime_referral,Share your Chime referral link from the app,chime.com,/r/%,https://chime.com/r/abc123,chime
Webull Referral Program,webull-referral-program,referral_program,,webull,,,,,webull_referral,Share your Webull referral link,webull.com,/invite/%,https://webull.com/invite/abc123,webull
Acorns Referral Program,acorns-referral-program,referral_program,,acorns,,,,,acorns_referral,Share your Acorns referral link from the app,share.acorns.com,/%,https://share.acorns.com/abc123,acorns
SoFi Referral Program,sofi-referral-program,referral_program,,sofi,,,,,sofi_referral,Share your SoFi referral link,sofi.com,/share/invest/%,https://sofi.com/share/invest/abc123,sofi
PayPal Referral Program,paypal-referral-program,referral_program,,paypal,,,,,paypal_referral,Share your PayPal referral link,paypal.com,/webapps/mpp/invite/%,https://paypal.com/webapps/mpp/invite/abc123,paypal
Venmo Referral Program,venmo-referral-program,referral_program,,venmo,,,,,venmo_referral,Share your Venmo referral link from the app,venmo.com,/invite/%,https://venmo.com/invite/abc123,venmo
Stash Referral Program,stash-referral-program,referral_program,,stash,,,,,stash_referral,Share your Stash referral link,get.stash.com,/%,https://get.stash.com/abc123,stash
Wealthfront Referral Program,wealthfront-referral-program,referral_program,,wealthfront,,,,,wealthfront_referral,Share your Wealthfront referral link,wlthfr.nt,/%,https://wlthfr.nt/abc123,wealthfront
Public Referral Program,public-referral-program,referral_program,,public-investing,,,,,public_referral,Share your Public referral link,share.public.com,/%,https://share.public.com/abc123,public-investing
M1 Finance Referral Program,m1-finance-referral-program,referral_program,,m1-finance,,,,,m1_finance_referral,Share your M1 Finance referral link,m1.com,/invite/%,https://m1.com/invite/abc123,m1-finance
Aspiration Referral Program,aspiration-referral-program,referral_program,,aspiration,,,,,aspiration_referral,Share your Aspiration referral link,aspiration.com,/invite/%,https://aspiration.com/invite/abc123,aspiration
Monarch Money Referral Program,monarch-money-referral-program,referral_program,,monarch-money,,,,,monarch_money_referral,Share your Monarch Money referral link,monarchmoney.com,/referral/%,https://monarchmoney.com/referral/abc123,monarch-money
Privacy.com Referral Program,privacy-com-referral-program,referral_program,,privacy-com,,,,,privacy_com_referral,Share your Privacy.com referral link,privacy.com,/join/%,https://privacy.com/join/abc123,privacy-com
Empower Referral Program,empower-referral-program,referral_program,,empower,,,,,empower_referral,Share your Empower referral link,empower.com,/referral/%,https://empower.com/referral/abc123,empower
Strike Referral Program,strike-referral-program,referral_program,,strike,,,,,strike_referral,Share your Strike referral link,strike.me,/en/dl/invite/%,https://strike.me/en/dl/invite/abc123,strike
Earnest Referral Program,earnest-referral-program,referral_program,,earnest,,,,,earnest_referral,Share your Earnest referral link,earnest.com,/invite/%,https://earnest.com/invite/abc123,earnest
Novo Referral Program,novo-referral-program,referral_program,,novo,,,,,novo_referral,Share your Novo referral link,novo.co,/r/%,https://novo.co/r/abc123,novo
Betterment Referral Program,betterment-referral-program,referral_program,,betterment,,,,,betterment_referral,Share your Betterment referral link,betterment.com,/invite/%,https://betterment.com/invite/abc123,betterment
Wise Referral Program,wise-referral-program,referral_program,,wise,,,,,wise_referral,Share your Wise referral link,wise.com,/invite/%,https://wise.com/invite/abc123,wise
Chase Referral Program,chase-referral-program,referral_program,,chase,,,,,chase_referral,Share your Chase referral link from the app or website,chase.com,/refer/%,https://chase.com/refer/abc123,chase
Amex Referral Program,amex-referral-program,referral_program,,american-express,,,,,amex_referral,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/all-cards%,https://www.americanexpress.com/en-us/referral/all-cards?ref=abc123,american-express
Amex Gold Card Referral Program,amex-referral-personal-gold,referral_program,,american-express,,,,,amex_personal_gold,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/gold-card%,https://www.americanexpress.com/en-us/referral/personal/gold-card?ref=abc123,american-express
Amex Platinum Card Referral Program,amex-referral-personal-platinum,referral_program,,american-express,,,,,amex_personal_platinum,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/platinum-card%,https://www.americanexpress.com/en-us/referral/personal/platinum-card?ref=abc123,american-express
Amex Blue Cash Preferred Card Referral Program,amex-referral-personal-blue-cash-preferred,referral_program,,american-express,,,,,amex_personal_blue_cash_preferred,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/blue-cash-preferred-credit-card%,https://www.americanexpress.com/en-us/referral/personal/blue-cash-preferred-credit-card?ref=abc123,american-express
Amex Blue Cash Everyday Card Referral Program,amex-referral-personal-blue-cash-everyday,referral_program,,american-express,,,,,amex_personal_blue_cash_everyday,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/blue-cash-everyday-credit-card%,https://www.americanexpress.com/en-us/referral/personal/blue-cash-everyday-credit-card?ref=abc123,american-express
Amex Hilton Honors Surpass Card Referral Program,amex-referral-personal-hilton-honors-surpass,referral_program,,american-express,,,,,amex_personal_hilton_honors_surpass,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/hilton-honors-surpass-credit-card%,https://www.americanexpress.com/en-us/referral/personal/hilton-honors-surpass-credit-card?ref=abc123,american-express
Amex Delta SkyMiles Gold Card Referral Program,amex-referral-personal-delta-skymiles-gold,referral_program,,american-express,,,,,amex_personal_delta_skymiles_gold,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/delta-skymiles-gold-american-express-card%,https://www.americanexpress.com/en-us/referral/personal/delta-skymiles-gold-american-express-card?ref=abc123,american-express
Amex Hilton Honors Card Referral Program,amex-referral-personal-hilton-honors,referral_program,,american-express,,,,,amex_personal_hilton_honors,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/hilton-honors-credit-card%,https://www.americanexpress.com/en-us/referral/personal/hilton-honors-credit-card?ref=abc123,american-express
Amex Delta SkyMiles Blue Card Referral Program,amex-referral-personal-delta-skymiles-blue,referral_program,,american-express,,,,,amex_personal_delta_skymiles_blue,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/delta-skymiles-blue-american-express-card%,https://www.americanexpress.com/en-us/referral/personal/delta-skymiles-blue-american-express-card?ref=abc123,american-express
Amex Delta SkyMiles Reserve Card Referral Program,amex-referral-personal-delta-skymiles-reserve,referral_program,,american-express,,,,,amex_personal_delta_skymiles_reserve,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/delta-skymiles-reserve-american-express-card%,https://www.americanexpress.com/en-us/referral/personal/delta-skymiles-reserve-american-express-card?ref=abc123,american-express
Amex Marriott Bonvoy Bevy Card Referral Program,amex-referral-personal-marriott-bonvoy-bevy,referral_program,,american-express,,,,,amex_personal_marriott_bonvoy_bevy,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/marriott-bonvoy-bevy-card%,https://www.americanexpress.com/en-us/referral/personal/marriott-bonvoy-bevy-card?ref=abc123,american-express
Amex Marriott Bonvoy Brilliant Card Referral Program,amex-referral-personal-marriott-bonvoy-brilliant,referral_program,,american-express,,,,,amex_personal_marriott_bonvoy_brilliant,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/marriott-bonvoy-brilliant-card%,https://www.americanexpress.com/en-us/referral/personal/marriott-bonvoy-brilliant-card?ref=abc123,american-express
Amex Delta SkyMiles Platinum Card Referral Program,amex-referral-personal-delta-skymiles-platinum,referral_program,,american-express,,,,,amex_personal_delta_skymiles_platinum,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/delta-skymiles-platinum-american-express-card%,https://www.americanexpress.com/en-us/referral/personal/delta-skymiles-platinum-american-express-card?ref=abc123,american-express
Amex Hilton Honors Aspire Card Referral Program,amex-referral-personal-hilton-honors-aspire,referral_program,,american-express,,,,,amex_personal_hilton_honors_aspire,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/hilton-honors-aspire-credit-card%,https://www.americanexpress.com/en-us/referral/personal/hilton-honors-aspire-credit-card?ref=abc123,american-express
Amex Green Card Referral Program,amex-referral-personal-green,referral_program,,american-express,,,,,amex_personal_green,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/personal/american-express-green-card%,https://www.americanexpress.com/en-us/referral/personal/american-express-green-card?ref=abc123,american-express
Amex Business Gold Card Referral Program,amex-referral-business-gold,referral_program,,american-express,,,,,amex_business_gold,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/businessgold-card%,https://www.americanexpress.com/en-us/referral/business/businessgold-card?ref=abc123,american-express
Amex Blue Business Plus Card Referral Program,amex-referral-business-blue-business-plus,referral_program,,american-express,,,,,amex_business_blue_business_plus,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/bluebusinessplus-credit-card%,https://www.americanexpress.com/en-us/referral/business/bluebusinessplus-credit-card?ref=abc123,american-express
Amex Business Platinum Card Referral Program,amex-referral-business-platinum,referral_program,,american-express,,,,,amex_business_platinum,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/business-platinum-charge-card%,https://www.americanexpress.com/en-us/referral/business/business-platinum-charge-card?ref=abc123,american-express
Amex Marriott Bonvoy Business Card Referral Program,amex-referral-business-marriott-bonvoy,referral_program,,american-express,,,,,amex_business_marriott_bonvoy,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/marriott-bonvoy-business-american-express-card%,https://www.americanexpress.com/en-us/referral/business/marriott-bonvoy-business-american-express-card?ref=abc123,american-express
Amex Business Green Rewards Card Referral Program,amex-referral-business-green-rewards,referral_program,,american-express,,,,,amex_business_green_rewards,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/business-green-rewards-charge-card%,https://www.americanexpress.com/en-us/referral/business/business-green-rewards-charge-card?ref=abc123,american-express
Amex Delta SkyMiles Gold Business Card Referral Program,amex-referral-business-delta-skymiles-gold,referral_program,,american-express,,,,,amex_business_delta_skymiles_gold,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/delta-skymiles-gold%,https://www.americanexpress.com/en-us/referral/business/delta-skymiles-gold?ref=abc123,american-express
Amex Delta SkyMiles Reserve Business Card Referral Program,amex-referral-business-delta-skymiles-reserve,referral_program,,american-express,,,,,amex_business_delta_skymiles_reserve,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/delta-skymiles-reserve%,https://www.americanexpress.com/en-us/referral/business/delta-skymiles-reserve?ref=abc123,american-express
Amex Delta SkyMiles Platinum Business Card Referral Program,amex-referral-business-delta-skymiles-platinum,referral_program,,american-express,,,,,amex_business_delta_skymiles_platinum,Share your Amex referral link from your card account,*.americanexpress.com,/en-us/referral/business/delta-skymiles-platinum%,https://www.americanexpress.com/en-us/referral/business/delta-skymiles-platinum?ref=abc123,american-express
Capital One Referral Program,capital-one-referral-program,referral_program,,capital-one,,,,,capital_one_referral,Share your Capital One referral link,capital.one,/refer/%,https://capital.one/refer/abc123,capital-one
Discover Referral Program,discover-referral-program,referral_program,,discover,,,,,discover_referral,Share your Discover referral link,discover.com,/refer/%,https://discover.com/refer/abc123,discover
Ally Referral Program,ally-referral-program,referral_program,,ally,,,,,ally_referral,Share your Ally referral link,ally.com,/referral/%,https://ally.com/referral/abc123,ally
Swagbucks Referral Program,swagbucks-referral-program,referral_program,,swagbucks,,,,,swagbucks_referral,Share your Swagbucks referral link,swagbucks.com,/refer/%,https://swagbucks.com/refer/abc123,swagbucks
Rakuten Referral Program,rakuten-referral-program,referral_program,,rakuten,,,,,rakuten_referral,Share your Rakuten referral link,rakuten.com,/r/%,https://rakuten.com/r/abc123,rakuten
Honey Referral Program,honey-referral-program,referral_program,,honey,,,,,honey_referral,Share your Honey/PayPal Honey referral link,joinhoney.com,/ref/%,https://joinhoney.com/ref/abc123,honey
Ibotta Referral Program,ibotta-referral-program,referral_program,,ibotta,,,,,ibotta_referral,Share your Ibotta referral code from the app,ibotta.com,/register/%,https://ibotta.com/register/abc123,ibotta
Fetch Rewards Referral Program,fetch-rewards-referral-program,referral_program,,fetch-rewards,,,,,fetch_rewards_referral,Share your Fetch Rewards referral code from the app,fetchrewards.com,/invite/%,https://fetchrewards.com/invite/abc123,fetch-rewards
Mercari Referral Program,mercari-referral-program,referral_program,,mercari,,,,,mercari_referral,Share your Mercari referral link,merc.li,/%,https://merc.li/abc123,mercari
GetUpside Referral Program,getupside-referral-program,referral_program,,getupside,,,,,getupside_referral,Share your GetUpside/Upside referral code,upside.app.link,/%,https://upside.app.link/abc123,getupside
Dosh Referral Program,dosh-referral-program,referral_program,,dosh,,,,,dosh_referral,Share your Dosh referral link,link.dosh.com,/refer/%,https://link.dosh.com/refer/abc123,dosh
TopCashback Referral Program,topcashback-referral-program,referral_program,,topcashback,,,,,topcashback_referral,Share your TopCashback referral link,topcashback.com,/ref/%,https://topcashback.com/ref/abc123,topcashback
Poshmark Referral Program,poshmark-referral-program,referral_program,,poshmark,,,,,poshmark_referral,Share your Poshmark referral code from the app,poshmark.com,/invite/%,https://poshmark.com/invite/abc123,poshmark
Drop Referral Program,drop-referral-program,referral_program,,drop-app,,,,,drop_referral,Share your Drop referral link,drop.com,/invite/%,https://drop.com/invite/abc123,drop-app
Capital One Shopping Referral Program,capital-one-shopping-referral-program,referral_program,,capital-one-shopping,,,,,capital_one_shopping_referral,Share your Capital One Shopping referral link,capitaloneshopping.com,/invite/%,https://capitaloneshopping.com/invite/abc123,capital-one-shopping
Fluz Referral Program,fluz-referral-program,referral_program,,fluz,,,,,fluz_referral,Share your Fluz referral link,joinfluz.com,/r/%,https://joinfluz.com/r/abc123,fluz
Thrive Market Referral Program,thrive-market-referral-program,referral_program,,thrive-market,,,,,thrive_market_referral,Share your Thrive Market referral link,thrivemarket.com,/invite/%,https://thrivemarket.com/invite/abc123,thrive-market
Groupon Referral Program,groupon-referral-program,referral_program,,groupon,,,,,groupon_referral,Share your Groupon referral link,groupon.com,/refer/%,https://groupon.com/refer/abc123,groupon
Stitch Fix Referral Program,stitch-fix-referral-program,referral_program,,stitch-fix,,,,,stitch_fix_referral,Share your Stitch Fix referral link,stitchfix.com,/invite/%,https://stitchfix.com/invite/abc123,stitch-fix
Whatnot Referral Program,whatnot-referral-program,referral_program,,whatnot,,,,,whatnot_referral,Share your Whatnot referral link,whatnot.com,/invite/%,https://whatnot.com/invite/abc123,whatnot
Fiverr Referral Program,fiverr-referral-program,referral_program,,fiverr,,,,,fiverr_referral,Share your Fiverr referral link,fiverr.com,/s/%,https://fiverr.com/s/abc123,fiverr
Uber Referral Program,uber-referral-program,referral_program,,uber,,,,,uber_referral,Share your Uber referral code from the app,uber.com,/invite/%,https://uber.com/invite/abc123,uber
Uber Eats Referral Program,uber-eats-referral-program,referral_program,,uber,,,,,uber_eats_referral,Share your Uber Eats referral code from the app,ubereats.com,/%,https://ubereats.com/feed?promoCode=abc123,uber
Lyft Referral Program,lyft-referral-program,referral_program,,lyft,,,,,lyft_referral,Share your Lyft referral code from the app,lyft.com,/invite/%,https://lyft.com/invite/abc123,lyft
DoorDash Referral Program,doordash-referral-program,referral_program,,doordash,,,,,doordash_referral,Share your DoorDash referral link from the app,drd.sh,/%,https://drd.sh/abc123,doordash
Instacart Referral Program,instacart-referral-program,referral_program,,instacart,,,,,instacart_referral,Share your Instacart referral link,inst.cr,/%,https://inst.cr/t/abc123,instacart
Grubhub Referral Program,grubhub-referral-program,referral_program,,grubhub,,,,,grubhub_referral,Share your Grubhub referral link from the app,grubhub.com,/referral/%,https://grubhub.com/referral/abc123,grubhub
Postmates Referral Program,postmates-referral-program,referral_program,,postmates,,,,,postmates_referral,Share your Postmates referral code from the app,pmts.co,/%,https://pmts.co/abc123,postmates
Gopuff Referral Program,gopuff-referral-program,referral_program,,gopuff,,,,,gopuff_referral,Share your Gopuff referral code from the app,gopuff.com,/invite/%,https://gopuff.com/invite/abc123,gopuff
Shipt Referral Program,shipt-referral-program,referral_program,,shipt,,,,,shipt_referral,Share your Shipt referral link,shipt.com,/invite/%,https://shipt.com/invite/abc123,shipt
Factor Referral Program,factor-referral-program,referral_program,,factor,,,,,factor_referral,Share your Factor referral link,factor75.com,/invite/%,https://factor75.com/invite/abc123,factor
Hungryroot Referral Program,hungryroot-referral-program,referral_program,,hungryroot,,,,,hungryroot_referral,Share your Hungryroot referral link,hungryroot.com,/r/%,https://hungryroot.com/r/abc123,hungryroot
Tovala Referral Program,tovala-referral-program,referral_program,,tovala,,,,,tovala_referral,Share your Tovala referral link,tovala.com,/invite/%,https://tovala.com/invite/abc123,tovala
Sweetgreen Referral Program,sweetgreen-referral-program,referral_program,,sweetgreen,,,,,sweetgreen_referral,Share your Sweetgreen referral link from the app,order.sweetgreen.com,/invite/%,https://order.sweetgreen.com/invite/abc123,sweetgreen
Airbnb Referral Program,airbnb-referral-program,referral_program,,airbnb,,,,,airbnb_referral,Share your Airbnb referral link,airbnb.com,/c/%,https://airbnb.com/c/abc123,airbnb
Tesla Referral Program,tesla-referral-program,referral_program,,tesla,,,,,tesla_referral,Share your Tesla referral link,ts.la,/%,https://ts.la/abc123,tesla
Turo Referral Program,turo-referral-program,referral_program,,turo,,,,,turo_referral,Share your Turo referral link,turo.com,/invite/%,https://turo.com/invite/abc123,turo
Hipcamp Referral Program,hipcamp-referral-program,referral_program,,hipcamp,,,,,hipcamp_referral,Share your Hipcamp referral link,hipcamp.com,/r/%,https://hipcamp.com/r/abc123,hipcamp
Lime Referral Program,lime-referral-program,referral_program,,lime,,,,,lime_referral,Share your Lime referral code from the app,li.me,/%,https://li.me/abc123,lime
Bird Referral Program,bird-referral-program,referral_program,,bird,,,,,bird_referral,Share your Bird referral code from the app,bdee.co,/%,https://bdee.co/abc123,bird
Hotel Tonight Referral Program,hotel-tonight-referral-program,referral_program,,hotel-tonight,,,,,hotel_tonight_referral,Share your HotelTonight referral link,hoteltonight.com,/invite/%,https://hoteltonight.com/invite/abc123,hotel-tonight
T-Mobile Referral Program,t-mobile-referral-program,referral_program,,t-mobile,,,,,t_mobile_referral,Share your T-Mobile referral link,t-mobile.com,/referral/%,https://t-mobile.com/referral/abc123,t-mobile
Mint Mobile Referral Program,mint-mobile-referral-program,referral_program,,mint-mobile,,,,,mint_mobile_referral,Share your Mint Mobile referral link,mintmobile.com,/refer/%,https://mintmobile.com/refer/abc123,mint-mobile
Visible Referral Program,visible-referral-program,referral_program,,visible,,,,,visible_referral,Share your Visible referral link,visible.com,/get/%,https://visible.com/get/abc123,visible
Google Fi Referral Program,google-fi-referral-program,referral_program,,google-fi,,,,,google_fi_referral,Share your Google Fi referral link,fi.google.com,/about/referral/%,https://fi.google.com/about/referral/abc123,google-fi
Airalo Referral Program,airalo-referral-program,referral_program,,airalo,,,,,airalo_referral,Share your Airalo referral code,ref.airalo.com,/%,https://ref.airalo.com/abc123,airalo
