name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
Hilton Stories,hilton-stories-stories-hilton-com-feed,rss_feed,Hilton Worldwide,travel,,https://stories.hilton.com/feed,Hilton Stories,
Hyatt,hyatt,topic,Hyatt Hotels,travel,,,,
IHG,ihg,topic,InterContinental Hotels Group,travel,,,,
Wyndham,wyndham,topic,Wyndham Hotels,travel,,,,
Accor,accor,topic,Accor Hotels,travel,,,,
Best Western,best-western,topic,,travel,,,,
Choice Hotels,choice-hotels,topic,,travel,,,,
Four Seasons,four-seasons,topic,,travel,,,,
Ritz-Carlton,ritz-carlton,topic,The Ritz-Carlton,marriott,,,,
W Hotels,w-hotels,topic,,marriott,,,,
St. Regis,st-regis,topic,,marriott,,,,
Waldorf Astoria,waldorf-astoria,topic,,hilton-stories-stories-hilton-com-feed,,,,
Conrad,conrad-hotels,topic,Conrad Hotels,hilton-stories-stories-hilton-com-feed,,,,
Park Hyatt,park-hyatt,topic,,hyatt,,,,
Andaz,andaz,topic,,hyatt,,,,
United MileagePlus,united-mileageplus,rewards_program,MileagePlus,united-airlines,,,,
Delta SkyMiles,delta-skymiles,rewards_program,SkyMiles,delta-news-hub-news-delta-com-delta-news-hub-xml,,,,
AAdvantage,aadvantage,rewards_program,American Airlines AAdvantage,american-airlines,,,,
Southwest Rapid Rewards,southwest-rapid-rewards,rewards_program,Rapid Rewards,southwest-airlines,,,,
JetBlue TrueBlue,jetblue-trueblue,rewards_program,TrueBlue,jetblue,,,,
Alaska Mileage Plan,alaska-mileage-plan,rewards_program,Mileage Plan,alaska-airlines,,,,
Marriott Bonvoy,marriott-bonvoy,rewards_program,Bonvoy,marriott,,,,
Hilton Honors,hilton-honors,rewards_program,,hilton-stories-stories-hilton-com-feed,,,,
World of Hyatt,world-of-hyatt,rewards_program,,hyatt,,,,
IHG One Rewards,ihg-one-rewards,rewards_program,IHG Rewards,ihg,,,,
Wyndham Rewards,wyndham-rewards,rewards_program,,wyndham,,,,
Accor Live Limitless,accor-live-limitless,rewards_program,ALL,accor,,,,
Virgin Atlantic Flying Club,virgin-atlantic-flying-club,rewards_program,Flying Club,travel,,,,Transfer partner
Air Canada Aeroplan,air-canada-aeroplan,rewards_program,Aeroplan,travel,,,,Transfer partner
Avianca LifeMiles,avianca-lifemiles,rewards_program,LifeMiles,travel,,,,Transfer partner
Hyatt Globalist,hyatt-globalist,rewards_program_status,Globalist,world-of-hyatt,,,,
Hyatt Explorist,hyatt-explorist,rewards_program_status,Explorist,world-of-hyatt,,,,
Marriott Titanium Elite,marriott-titanium-elite,rewards_program_status,Titanium Elite|Titanium,marriott-bonvoy,,,,
Marriott Platinum Elite,marriott-platinum-elite,rewards_program_status,Platinum Elite,marriott-bonvoy,,,,
Marriott Gold Elite,marriott-gold-elite,rewards_program_status,Gold Elite,marriott-bonvoy,,,,
Hilton Diamond,hilton-diamond,rewards_program_status,Diamond,hilton-honors,,,,
Hilton Gold,hilton-gold,rewards_program_status,,hilton-honors,,,,
United Premier 1K,united-premier-1k,rewards_program_status,Premier 1K|1K,united-mileageplus,,,,
United Premier Platinum,united-premier-platinum,rewards_program_status,Premier Platinum,united-mileageplus,,,,
United Premier Gold,united-premier-gold,rewards_program_status,Premier Gold,united-mileageplus,,,,
Delta Diamond Medallion,delta-diamond-medallion,rewards_program_status,Diamond Medallion,delta-skymiles,,,,
Delta Platinum Medallion,delta-platinum-medallion,rewards_program_status,Platinum Medallion,delta-skymiles,,,,
Delta Gold Medallion,delta-gold-medallion,rewards_program_status,Gold Medallion,delta-skymiles,,,,
One Mile at a Time,one-mile-at-a-time-onemileatatime-com-feed,rss_feed,OMAAT,travel,,https://onemileatatime.com/feed/,One Mile at a Time,
View from the Wing,view-from-the-wing-viewfromthewing-com-feed,rss_feed,VFTW,travel,,https://viewfromthewing.com/feed/,View from the Wing,
The Points Guy Travel,the-points-guy-travel,topic,,the-points-guy-thepointsguy-com-feed|travel,,,,Sub-brand for travel-specific feed
Live and Let's Fly,live-and-lets-fly-liveandletsfly-com-feed,rss_feed,,travel,,https://liveandletsfly.com/feed/,Live and Let's Fly,
Loyalty Lobby,loyalty-lobby-loyaltylobby-com-feed,rss_feed,,travel,,https://loyaltylobby.com/feed/,Loyalty Lobby,
Prince of Travel,prince-of-travel,topic,,travel,,,,
Travel is Free,travel-is-free,topic,TiF,travel,,,,
Eye of the Flyer,eye-of-the-flyer-eyeoftheflyer-com-feed,rss_feed,,travel,,https://eyeoftheflyer.com/feed/,Eye of the Flyer,
