name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
DigitalOcean Blog,digitalocean-blog-digitalocean-com-blog-atom,rss_feed,,digitalocean,,https://www.digitalocean.com/blog.atom,DigitalOcean Blog,
Fly.io Blog,flyio-blog-fly-io-blog-feed-xml,rss_feed,Fly|Flyio,cloud-computing,,https://fly.io/blog/feed.xml,Fly.io Blog,
Supabase Blog,supabase-blog-supabase-com-rss-xml,rss_feed,,databases|cloud-computing,,https://supabase.com/rss.xml,Supabase Blog,
PlanetScale Blog,planetscale-blog-planetscale-com-blog-feed-atom,rss_feed,,databases|cloud-computing,,https://planetscale.com/blog/feed.atom,PlanetScale Blog,
Neon Blog,neon-blog-neon-com-blog-rss-xml,rss_feed,Neon Database,postgresql|cloud-computing,,https://neon.com/blog/rss.xml,Neon Blog,
GitHub Blog,github-blog-github-blog-feed,rss_feed,,developer-tools|open-source,,https://github.blog/feed/,GitHub Blog,
GitLab Blog,gitlab-blog-about-gitlab-com-atom-xml,rss_feed,,developer-tools,,https://about.gitlab.com/atom.xml,GitLab Blog,
Docker Blog,docker-blog-docker-com-feed,rss_feed,Docker Inc,devops,,https://www.docker.com/feed/,Docker Blog,
Kubernetes,kubernetes,topic,K8s,devops,,,,
Terraform,terraform,topic,HashiCorp Terraform,devops,,,,
JetBrains Blog,jetbrains-blog-blog-jetbrains-com-feed,rss_feed,,developer-tools,,https://blog.jetbrains.com/feed/,JetBrains Blog,
Linear Now,linear-now-linear-app-rss-now-xml,rss_feed,Linear App,developer-tools,,https://linear.app/rss/now.xml,Linear Now,
Sentry Blog,sentry-blog-blog-sentry-io-feed-xml,rss_feed,,developer-tools,,https://blog.sentry.io/feed.xml,Sentry Blog,
Datadog,datadog,topic,,devops,,,,
Tailwind CSS,tailwind-css,topic,Tailwind|TailwindCSS,frontend-development,,,,
GraphQL,graphql,topic,,api-design,,,,
REST,rest-api,topic,REST API|RESTful,api-design,,,,
gRPC,grpc,topic,,api-design,,,,
WebAssembly,webassembly,topic,Wasm|WASM,web-development,,,,
Linux,linux,topic,,software-engineering,,,,
Git,git,topic,,developer-tools,,,,
Hacker News,hacker-news-news-ycombinator-com-rss,rss_feed,HN|YC News,software-engineering,,https://news.ycombinator.com/rss,Hacker News,
dev.to,devto-dev-to-feed,rss_feed,DEV Community|dev.to,software-engineering,,https://dev.to/feed,dev.to,
InfoQ,infoq-feed-infoq-com,rss_feed,,software-engineering,,https://feed.infoq.com/,InfoQ,
The Pragmatic Engineer,the-pragmatic-engineer,topic,,software-engineering,,,,
ByteByteGo,bytebytego,topic,,system-design,,,,
Smashing Magazine,smashing-magazine-smashingmagazine-com-feed,rss_feed,,frontend-development,,https://www.smashingmagazine.com/feed/,Smashing Magazine,
CSS-Tricks,css-tricks-css-tricks-com-feed,rss_feed,CSS Tricks,frontend-development,,https://css-tricks.com/feed/,CSS-Tricks,
A List Apart,a-list-apart-alistapart-com-main-feed,rss_feed,,web-development,,https://alistapart.com/main/feed/,A List Apart,
Stack Overflow,stack-overflow,topic,StackOverflow|SO,software-engineering,,,,
ThoughtWorks Insights,thoughtworks-insights-thoughtworks-com-rss-insights-xml,rss_feed,,software-engineering,,https://www.thoughtworks.com/rss/insights.xml,ThoughtWorks Insights,
Warp,warp-terminal,topic,Warp Terminal,developer-tools,,,,
